date,ticker,open,high,low,close,volume,date,Price_Increase,consc Increas,2day,dollowed by 3 more increase,3day,follow by 2 more
10/16/2020,AVAX,4.12786557,4.15539265,3.8870107,4.04048023,9790610.43,2020,0,0,0,0,1,0
10/17/2020,AVAX,4.03854072,4.19600869,3.97669431,4.19600869,6113717.11,2020,1,0,0,0,0,0
10/18/2020,AVAX,4.19232299,4.24636654,4.08395151,4.11606159,3717530.72,2020,0,0,0,0,0,0
10/19/2020,AVAX,4.11776531,4.16093878,3.99786687,4.05031145,5848392.05,2020,0,1,0,0,0,0
10/20/2020,AVAX,4.05350404,4.08160994,3.7143789,3.80220148,19646467.19,2020,0,0,0,0,0,0
10/21/2020,AVAX,3.80043858,4.10850458,3.79433369,3.96595864,23475818.62,2020,1,0,0,0,0,0
10/22/2020,AVAX,3.97172469,4.49804432,3.96215341,4.31442085,24178361.26,2020,1,0,0,0,0,0
10/23/2020,AVAX,4.33092903,4.48689406,4.14967247,4.26210578,19482074.42,2020,0,1,0,0,0,0
10/24/2020,AVAX,4.26210578,4.35265955,4.16198021,4.18969951,16681037.05,2020,0,1,0,0,0,0
10/25/2020,AVAX,4.18969951,4.25797176,4.10539528,4.15321015,15517938.56,2020,0,0,0,0,0,0
10/26/2020,AVAX,4.15321015,4.47907144,4.04967754,4.16097292,9243754.93,2020,1,0,0,0,0,0
10/27/2020,AVAX,4.16097292,4.34970905,4.0436588,4.12224302,17600880.78,2020,0,0,0,0,0,0
10/28/2020,AVAX,4.12224302,4.17780547,3.93502735,4.06660637,19435211.04,2020,0,1,0,0,0,0
10/29/2020,AVAX,4.06660637,4.10639614,3.73338322,3.77531205,6527859.23,2020,0,0,0,0,0,0
10/30/2020,AVAX,3.77531205,3.81917247,3.58012673,3.71493759,28434550.48,2020,0,0,0,0,0,0
10/31/2020,AVAX,3.71493759,3.74353629,3.58513627,3.64836809,20452534.65,2020,0,0,0,0,0,0
11/1/2020,AVAX,3.64836809,3.71667633,3.55598382,3.68266358,15953276.51,2020,1,0,0,0,0,0
11/2/2020,AVAX,3.68266358,3.85450266,3.61439695,3.62391496,20039697.14,2020,0,0,0,0,0,0
11/3/2020,AVAX,3.62391496,3.65555442,3.24225744,3.33274693,24573095.23,2020,0,1,0,0,0,0
11/4/2020,AVAX,3.33274693,3.37665949,3.0028878,3.18463303,20709818.73,2020,0,0,0,0,0,0
11/5/2020,AVAX,3.18463303,3.37709838,3.0228432,3.35820473,26135754.29,2020,1,0,0,0,0,0
11/6/2020,AVAX,3.35820473,3.6452424,3.31802363,3.59528234,33947028.83,2020,1,0,0,0,0,0
11/7/2020,AVAX,3.59528234,3.90710635,3.38267645,3.40340829,34653202.95,2020,0,1,0,0,0,0
11/8/2020,AVAX,3.40340829,3.65081603,3.36806796,3.47659784,26072940.86,2020,1,1,0,0,0,0
11/9/2020,AVAX,3.47659784,3.53932119,3.26588732,3.41712498,25509378.22,2020,0,0,0,0,0,0
11/10/2020,AVAX,3.41712498,3.64052021,3.36972837,3.58614225,24316550.96,2020,1,2,0,0,0,0
11/11/2020,AVAX,3.58614225,3.81014814,3.45720007,3.48435579,24727643.61,2020,0,0,1,0,0,0
11/12/2020,AVAX,3.48435579,3.56057677,3.31976855,3.42914335,25090676.95,2020,0,3,0,0,0,0
11/13/2020,AVAX,3.42914335,3.69781664,3.39180691,3.69780082,27584233.25,2020,1,0,0,0,1,0
11/14/2020,AVAX,3.69780082,3.69780082,3.40367375,3.50048529,24359586.79,2020,0,0,0,0,0,0
11/15/2020,AVAX,3.50048529,3.64245248,3.42289759,3.53658018,22702610.25,2020,1,1,0,0,0,0
11/16/2020,AVAX,3.53658018,3.81652425,3.4591204,3.71665631,27372173.72,2020,1,0,0,0,0,0
11/17/2020,AVAX,3.78871435,3.91511214,3.6982418,3.83176823,23031676.65,2020,1,2,0,0,0,0
11/18/2020,AVAX,3.83176823,3.87104269,3.57569865,3.74868105,20818648.74,2020,0,1,1,0,0,0
11/19/2020,AVAX,3.74868105,3.81644162,3.57069686,3.62700441,21489339.31,2020,0,3,0,0,0,0
11/20/2020,AVAX,3.62700441,3.98702449,3.62453476,3.71060488,27416995.08,2020,1,0,0,0,1,0
11/21/2020,AVAX,3.71060488,4.08380332,3.69236078,4.0018561,25984283.37,2020,1,0,0,0,0,0
11/22/2020,AVAX,4.0018561,4.0580503,3.7167929,3.88996878,25963010.06,2020,0,1,0,0,0,0
11/23/2020,AVAX,3.88996878,4.25451766,3.84812282,4.06842842,9013817.36,2020,1,1,0,0,0,0
11/24/2020,AVAX,4.06852291,4.3278876,3.87028017,4.26696585,30722083.31,2020,1,0,0,0,0,0
11/25/2020,AVAX,4.26771288,4.40034345,3.93389239,4.049503,28505942.36,2020,0,2,0,0,0,0
11/26/2020,AVAX,4.04999217,4.08481046,3.30287778,3.52771037,35408249.27,2020,0,1,1,0,0,0
11/27/2020,AVAX,3.52670747,3.76390286,3.42587916,3.59215223,6023810.06,2020,1,0,0,0,0,0
11/28/2020,AVAX,3.58942683,3.69780617,3.48022386,3.62450296,17509243.69,2020,1,0,0,0,0,0
11/29/2020,AVAX,3.62460762,3.76720498,3.532624,3.70431158,3901221.42,2020,1,1,0,0,0,0
11/30/2020,AVAX,3.70434574,3.81383896,3.64564719,3.68642396,21457283.89,2020,0,1,0,0,0,0
12/1/2020,AVAX,3.68646101,3.81616068,3.49248357,3.57931844,24719235.56,2020,0,2,0,0,0,0
12/2/2020,AVAX,3.57934731,3.84222013,3.52901898,3.7314181,5085526.38,2020,1,0,1,0,0,0
12/3/2020,AVAX,3.73613857,3.89494867,3.71764626,3.82192168,21038214.99,2020,1,0,0,0,0,0
12/4/2020,AVAX,3.82193974,3.86014779,3.51884925,3.55112901,23754809.35,2020,0,1,0,0,0,0
12/5/2020,AVAX,3.53839443,3.71192138,3.50854145,3.61512609,21215020.3,2020,1,1,0,0,0,0
12/6/2020,AVAX,3.61513206,3.67585727,3.50910807,3.59960891,20224611.88,2020,0,0,0,0,0,0
12/7/2020,AVAX,3.59966269,3.60988554,3.32559207,3.39212272,16909345.92,2020,0,2,0,0,0,0
12/8/2020,AVAX,3.39242034,3.39242034,3.09646659,3.11255534,23027416.78,2020,0,0,1,0,0,0
12/9/2020,AVAX,3.11156672,3.3994763,2.80872399,3.2619686,28583037.39,2020,1,0,0,0,0,0
12/10/2020,AVAX,3.26158827,3.34582623,3.0708558,3.15269027,29252855.36,2020,0,0,0,0,0,0
12/11/2020,AVAX,3.15286429,3.30500766,3.01492627,3.23580639,29224480.23,2020,1,1,0,0,0,0
12/12/2020,AVAX,3.23265542,3.45185084,3.23100769,3.33423057,24630223.91,2020,1,0,0,0,0,0
12/13/2020,AVAX,3.33476766,3.41003749,3.29329124,3.33105674,20722254.57,2020,0,2,0,0,0,0
12/14/2020,AVAX,3.33036467,3.34217907,3.13635137,3.1403466,27242746.93,2020,0,1,1,0,0,0
12/15/2020,AVAX,3.14143606,3.37933562,3.06138928,3.29994825,18320577.71,2020,1,0,0,0,0,0
12/16/2020,AVAX,3.29980167,3.3737996,3.15137985,3.34416193,21054734.12,2020,1,0,0,0,0,0
12/17/2020,AVAX,3.3437269,3.37737434,3.17982172,3.20925478,10227873.82,2020,0,1,0,0,0,0
12/18/2020,AVAX,3.20961315,3.46928792,3.14192296,3.40479821,23107656.31,2020,1,1,0,0,0,0
12/19/2020,AVAX,3.40537811,3.61032174,3.38022701,3.46961336,19919598.42,2020,1,0,0,0,0,0
12/20/2020,AVAX,3.46966286,3.49537785,3.28585381,3.31146868,18750351.36,2020,0,2,0,0,0,0
12/21/2020,AVAX,3.31145577,3.35108192,3.03368315,3.09761923,25892571.08,2020,0,1,1,0,0,0
12/22/2020,AVAX,3.0941214,3.12881238,2.92483372,3.08242113,23991867.55,2020,0,0,0,0,0,0
12/23/2020,AVAX,3.08242726,3.62008376,2.79621039,2.91632255,50329367.06,2020,0,0,0,0,0,0
12/24/2020,AVAX,2.93046542,3.11195906,2.78979871,3.09872279,29820498.43,2020,1,0,0,0,0,0
12/25/2020,AVAX,3.09741341,3.12698052,2.85822943,2.95470966,26360909.17,2020,0,0,0,0,0,0
12/26/2020,AVAX,2.95511875,2.98856694,2.85338354,2.91826964,21332105.13,2020,0,1,0,0,0,0
12/27/2020,AVAX,2.91826875,3.05076698,2.8480744,2.90616148,24533711.42,2020,0,0,0,0,0,0
12/28/2020,AVAX,2.9052931,3.04674521,2.86666076,2.94743505,27088075.26,2020,1,0,0,0,0,0
12/29/2020,AVAX,2.94743676,3.00663335,2.83550604,2.92466554,25386162.2,2020,0,0,0,0,0,0
12/30/2020,AVAX,2.92529379,2.93991509,2.83332631,2.92240921,17031663.38,2020,0,1,0,0,0,0
12/31/2020,AVAX,2.92204763,3.19090256,2.7888219,3.13560929,18953615.04,2020,1,0,0,0,0,0
1/1/2021,AVAX,3.15353536,3.87353687,3.05454162,3.66482291,81260735.81,2021,1,0,0,0,0,0
1/2/2021,AVAX,3.66216375,3.9370071,3.29926303,3.49494033,50081957.51,2021,0,1,0,0,0,0
1/3/2021,AVAX,3.49429184,3.82608998,3.39684201,3.47294394,36997984.54,2021,0,1,0,0,0,0
1/4/2021,AVAX,3.47351918,3.83195978,3.25040249,3.5902431,39414734.2,2021,1,0,0,0,0,0
1/5/2021,AVAX,3.59067008,4.34322217,3.48549158,4.23741233,69735075.49,2021,1,0,0,0,0,0
1/6/2021,AVAX,4.23396922,4.97132392,4.15529829,4.62035724,77632626.85,2021,1,1,0,0,0,0
1/7/2021,AVAX,4.60581025,4.80897694,4.34703194,4.4766134,53715137.96,2021,0,1,0,0,0,0
1/8/2021,AVAX,4.47587228,5.81302912,4.05474627,5.79711037,100707263.7,2021,1,2,0,0,0,0
1/9/2021,AVAX,5.7667078,7.45908462,5.62101253,7.21853136,162227415.1,2021,1,0,1,0,0,0
1/10/2021,AVAX,7.21622872,7.50171238,6.19173153,6.58649594,96243971.86,2021,0,3,0,0,0,0
1/11/2021,AVAX,6.57978516,6.98601688,5.77550256,6.49408911,101394969.3,2021,0,1,0,0,1,0
1/12/2021,AVAX,6.48761531,8.19862061,6.45798749,7.78269988,157738756.9,2021,1,0,0,0,0,0
1/13/2021,AVAX,7.75713729,8.47856866,7.18676231,8.46681532,107370548.3,2021,1,0,0,0,0,0
1/14/2021,AVAX,8.46418862,9.52769081,8.2286025,9.26131505,154674301.2,2021,1,1,0,0,0,0
1/15/2021,AVAX,9.27042862,9.85563951,8.633324,9.38001211,123418249.2,2021,1,1,0,0,0,0
1/16/2021,AVAX,9.38683586,13.3592401,9.1694727,12.87791808,302897986.1,2021,1,2,0,0,0,0
1/17/2021,AVAX,12.86845588,14.38286823,12.4002227,13.20268392,303643624.2,2021,1,2,1,0,0,0
1/18/2021,AVAX,13.17921703,13.83418698,12.68175083,12.70157425,144213432,2021,0,3,1,0,0,0
1/19/2021,AVAX,12.7123593,13.33198797,11.62125967,11.79032094,147387064.3,2021,0,3,0,0,1,0
1/20/2021,AVAX,11.79147427,12.99858832,11.07971846,12.41156545,143245333.9,2021,1,0,0,0,1,0
1/21/2021,AVAX,12.4185504,12.99000578,11.14710993,11.31011639,166420740.8,2021,0,0,0,0,0,0
1/22/2021,AVAX,11.30127654,13.38075313,10.72032685,12.71883601,190313147.9,2021,1,1,0,0,0,0
1/23/2021,AVAX,12.70736199,13.47914117,12.56252815,12.87722578,140727865.2,2021,1,0,0,0,0,0
1/24/2021,AVAX,12.87247994,13.16489253,12.27584204,12.46391952,105137517.8,2021,0,2,0,0,0,0
1/25/2021,AVAX,12.45966234,12.92879876,12.08139786,12.2240954,89612475.16,2021,0,1,1,0,0,0
1/26/2021,AVAX,12.22285353,12.7168646,11.48373967,12.1728899,117575609.2,2021,0,0,0,0,0,0
1/27/2021,AVAX,12.17948281,12.22419022,10.83576407,11.18479693,97215394.54,2021,0,0,0,0,0,0
1/28/2021,AVAX,11.18737069,12.68406127,10.90334082,12.00026985,115201838.7,2021,1,0,0,0,0,0
1/29/2021,AVAX,12.02298346,12.60681627,11.37697367,11.62169684,146529369.4,2021,0,0,0,0,0,0
1/30/2021,AVAX,11.61605344,12.62557385,11.31263917,11.98441928,112936218.1,2021,1,1,0,0,0,0
1/31/2021,AVAX,11.99727482,15.22437572,11.85807034,13.51631794,351069269.7,2021,1,0,0,0,0,0
2/1/2021,AVAX,13.51938278,13.51938278,12.63804117,13.22777041,149280612,2021,0,2,0,0,0,0
2/2/2021,AVAX,13.23548195,13.67038254,12.80548921,13.51504517,91074992.13,2021,1,1,1,0,0,0
2/3/2021,AVAX,13.50719499,14.9048751,13.20100151,14.80504916,144515018.1,2021,1,0,0,0,0,0
2/4/2021,AVAX,14.79927119,15.81354277,13.98280893,15.36817705,180318627.9,2021,1,2,0,0,0,0
2/5/2021,AVAX,15.34853162,17.99698886,15.22049739,17.91379881,196730773.6,2021,1,1,1,0,0,0
2/6/2021,AVAX,17.90972991,18.54456137,16.03665179,17.97602062,192597459.1,2021,1,3,0,0,0,0
2/7/2021,AVAX,18.02067225,24.21027939,18.0003454,24.2071792,545865728.9,2021,1,2,0,0,1,0
2/8/2021,AVAX,24.04464237,33.3060229,23.66959704,30.27532814,894521368.6,2021,1,4,1,0,0,0
2/9/2021,AVAX,30.25590877,32.97258596,27.57258552,31.59888577,445128059.3,2021,1,3,0,0,0,0
2/10/2021,AVAX,31.59962632,59.93984015,31.59962632,55.29847928,2235807129,2021,1,5,0,0,1,0
2/11/2021,AVAX,54.93386191,56.2638772,42.22793924,47.37031942,856224805.8,2021,0,4,0,0,0,0
2/12/2021,AVAX,47.1575208,54.39250362,43.77418845,48.65618258,688788872.3,2021,1,6,0,0,0,0
2/13/2021,AVAX,48.65752282,51.91789468,43.4914936,43.78714775,380032573.1,2021,0,0,0,0,0,0
2/14/2021,AVAX,43.76674042,44.54382215,38.32867592,38.5759553,472803312.8,2021,0,7,0,0,0,0
2/15/2021,AVAX,38.54552695,43.98727253,33.83211178,38.1765026,492075708.3,2021,0,0,0,0,0,0
2/16/2021,AVAX,38.15912098,39.49046401,35.28501276,36.3360754,360245754.9,2021,0,0,0,0,0,0
2/17/2021,AVAX,36.40126094,41.2050802,34.22456934,37.0521457,417547992,2021,1,0,0,0,0,0
2/18/2021,AVAX,37.05547836,43.69624514,36.02028199,41.01509085,433522042.6,2021,1,0,0,0,0,0
2/19/2021,AVAX,41.04082725,41.21041701,38.00141242,38.75145656,319733161.7,2021,0,1,0,0,0,0
2/20/2021,AVAX,38.76970464,42.75159891,32.88934982,36.23386826,468606771.3,2021,0,1,0,0,0,0
2/21/2021,AVAX,36.10154763,37.93278263,35.15163506,36.14797379,213433308.2,2021,1,0,0,0,0,0
2/22/2021,AVAX,36.14577734,36.25886642,26.93320919,32.27905809,341397482.1,2021,0,0,0,0,0,0
2/23/2021,AVAX,32.31002799,32.31002799,23.41165894,27.56290304,358695614.5,2021,0,1,0,0,0,0
2/24/2021,AVAX,27.58315011,31.89814765,25.48559093,29.93597928,367826263.4,2021,1,0,0,0,0,0
2/25/2021,AVAX,29.9255071,32.03687807,26.73953222,26.73953222,246988832,2021,0,0,0,0,0,0
2/26/2021,AVAX,26.86048305,27.98298736,24.98932458,25.93980949,178639218.2,2021,0,1,0,0,0,0
2/27/2021,AVAX,25.96340724,27.41600506,25.25753866,25.81447232,160106642,2021,0,0,0,0,0,0
2/28/2021,AVAX,25.82120528,25.90975279,22.30106906,23.82322037,156409576.3,2021,0,0,0,0,0,0
3/1/2021,AVAX,23.87715172,27.76976673,23.6979754,27.40377184,248201636.5,2021,1,0,0,0,0,0
3/2/2021,AVAX,27.42073194,31.74214448,26.01521262,27.13515651,563934378.8,2021,0,0,0,0,0,0
3/3/2021,AVAX,27.14820307,29.23093223,26.61944606,27.27207785,305240057.6,2021,1,1,0,0,0,0
3/4/2021,AVAX,27.26654016,28.73361877,24.28047606,25.80517489,290696777.3,2021,0,0,0,0,0,0
3/5/2021,AVAX,25.78188959,25.78188959,23.62070288,24.37805434,192065807.4,2021,0,2,0,0,0,0
3/6/2021,AVAX,24.34083138,25.49648822,23.89537857,24.92347801,138082740.3,2021,1,0,1,0,0,0
3/7/2021,AVAX,24.9171414,27.86521323,24.9171414,26.65015533,300207534.2,2021,1,0,0,0,0,0
3/8/2021,AVAX,26.65593422,27.06946724,25.1743829,25.54598925,209982091.4,2021,0,1,0,0,0,0
3/9/2021,AVAX,25.54934158,34.59547129,23.74354833,34.24870088,1202374920,2021,1,1,0,0,0,0
3/10/2021,AVAX,34.24568369,35.58499978,28.91278567,29.71404755,842150960,2021,0,0,0,0,0,0
3/11/2021,AVAX,29.65120301,32.82171514,28.46723854,30.7289913,596126031.2,2021,1,2,0,0,0,0
3/12/2021,AVAX,30.78320453,31.47624697,27.06589698,27.98931524,431815755.4,2021,0,0,1,0,0,0
3/13/2021,AVAX,27.99961995,33.13913152,27.0496435,30.90908429,521074218.8,2021,1,3,0,0,0,0
3/14/2021,AVAX,30.87592264,32.17930918,29.05876877,29.05876877,312497648.7,2021,0,0,0,0,1,0
3/15/2021,AVAX,28.98705205,30.46322658,27.26105631,29.01790921,334277021.6,2021,1,4,0,0,0,0
3/16/2021,AVAX,28.95025787,33.16495151,27.7486055,33.08016301,450559778.9,2021,1,0,0,0,0,0
3/17/2021,AVAX,33.07617896,33.85872645,31.00442038,32.6458283,440750660.4,2021,0,5,0,0,0,0
3/18/2021,AVAX,32.65379096,35.61005007,31.96622736,33.30138899,439630071.9,2021,1,1,0,0,0,0
3/19/2021,AVAX,33.26352202,38.43785647,31.76274347,37.76497536,621681220.6,2021,1,0,0,0,0,0
3/20/2021,AVAX,37.5875617,39.38956331,34.34647721,34.34647721,341937806.4,2021,0,2,0,0,0,0
3/21/2021,AVAX,34.34140006,35.51162581,32.11664053,32.81172344,328942185.2,2021,0,1,1,0,0,0
3/22/2021,AVAX,32.8075734,33.54272273,28.98901237,29.36029323,310387935.5,2021,0,0,0,0,0,0
3/23/2021,AVAX,29.30770831,30.83659402,28.35192533,28.59127096,245730628.4,2021,0,0,0,0,0,0
3/24/2021,AVAX,28.55329532,30.40033519,25.09612712,26.05170187,292191840.3,2021,0,0,0,0,0,0
3/25/2021,AVAX,25.98372349,27.46345619,24.64167581,25.99776737,252605201.2,2021,1,0,0,0,0,0
3/26/2021,AVAX,25.94686134,28.87990301,25.90781184,28.23790912,232181871.5,2021,1,0,0,0,0,0
3/27/2021,AVAX,28.24203935,28.60502171,26.88374183,27.63164537,175964470.7,2021,0,1,0,0,0,0
3/28/2021,AVAX,27.61724599,29.49205677,27.24730042,28.69735424,222965831,2021,1,1,0,0,0,0
3/29/2021,AVAX,28.70986638,30.24734324,28.26435894,29.46956808,219894708.2,2021,1,0,0,0,0,0
3/30/2021,AVAX,29.47743063,30.78315648,28.94251207,29.62527615,221168523.5,2021,1,2,0,0,0,0
3/31/2021,AVAX,29.61574721,29.88647603,26.69945799,28.7289694,221774579.1,2021,0,1,1,0,0,0
4/1/2021,AVAX,28.73258023,29.29685735,27.99394986,28.41875127,172089242.1,2021,0,3,0,0,0,0
4/2/2021,AVAX,28.33231489,29.57410104,28.04338558,29.11760959,167497180.9,2021,1,0,0,0,1,0
4/3/2021,AVAX,29.08162586,32.7803394,28.19956137,28.25184756,424655897.1,2021,0,0,0,0,0,0
4/4/2021,AVAX,28.29934543,30.09362819,27.91734837,29.32971208,185849449.6,2021,1,1,0,0,0,0
4/5/2021,AVAX,29.3103353,32.98377296,28.74098567,31.24659396,447418401.9,2021,1,0,0,0,0,0
4/6/2021,AVAX,31.27870806,34.55483948,30.20060122,31.55449389,453065493.1,2021,1,2,0,0,0,0
4/7/2021,AVAX,31.52110621,32.69904018,28.7043852,29.47651125,337039411.3,2021,0,1,1,0,0,0
4/8/2021,AVAX,29.58079147,31.35803153,29.30891399,30.76403363,177272347.7,2021,1,3,0,0,0,0
4/9/2021,AVAX,30.76032603,32.42420791,30.40952718,31.53260961,289110798.1,2021,1,0,0,0,1,0
4/10/2021,AVAX,31.53627949,33.94399333,30.88016324,31.80380306,377650234.9,2021,1,4,0,0,0,0
4/11/2021,AVAX,31.80379573,32.36647946,30.93572803,31.60232242,211605191.6,2021,0,1,0,0,0,0
4/12/2021,AVAX,31.66559365,35.65488103,31.30670881,33.88396684,485683845.7,2021,1,5,0,0,0,0
4/13/2021,AVAX,33.7982148,34.81218661,31.74695823,33.67353071,380251185,2021,0,0,0,0,0,0
4/14/2021,AVAX,33.63677819,39.37591429,32.97645863,38.46286713,975987631.8,2021,1,6,0,0,0,0
4/15/2021,AVAX,38.41642716,40.80037076,36.40646656,37.14306412,578582518.4,2021,0,0,0,0,0,0
4/16/2021,AVAX,37.02238955,37.566324,33.17973224,35.63131705,441000850,2021,0,7,0,0,0,0
4/17/2021,AVAX,35.53505225,36.87983981,33.90921157,34.34145466,299361049.5,2021,0,0,0,0,0,0
4/18/2021,AVAX,34.36115928,34.69755238,23.4115609,29.25309314,586258120.3,2021,0,0,0,0,0,0
4/19/2021,AVAX,29.28713293,30.46057063,25.61040406,26.28306571,305510537.2,2021,0,0,0,0,0,0
4/20/2021,AVAX,26.13611393,28.26930918,24.01119103,27.34795342,351820081.5,2021,1,0,0,0,0,0
4/21/2021,AVAX,27.40620277,28.40342737,25.85303432,25.90350346,255465065.2,2021,0,0,0,0,0,0
4/22/2021,AVAX,25.83030526,27.73365799,22.96560954,24.03496221,293095836,2021,0,1,0,0,0,0
4/23/2021,AVAX,23.98783257,24.6738294,20.01124644,23.49842471,381922879.6,2021,0,0,0,0,0,0
4/24/2021,AVAX,23.58330349,23.8911444,21.52035492,21.77752851,177292845.1,2021,0,0,0,0,0,0
4/25/2021,AVAX,21.83055791,23.68274509,20.46040797,21.54312118,138398300.9,2021,0,0,0,0,0,0
4/26/2021,AVAX,21.6234663,26.47709821,21.40692188,26.45927753,264631789.8,2021,1,0,0,0,0,0
4/27/2021,AVAX,26.46671712,27.86209851,25.76923691,27.82036908,214406078.6,2021,1,0,0,0,0,0
4/28/2021,AVAX,27.92023603,29.03008601,25.88178122,28.32757307,240501700.7,2021,1,1,0,0,0,0
4/29/2021,AVAX,28.29535655,29.68246149,26.63796349,27.92986451,218944692.9,2021,0,1,0,0,0,0
4/30/2021,AVAX,27.93089705,32.98489012,27.52840454,32.91837377,386072187.8,2021,1,2,0,0,0,0
5/1/2021,AVAX,32.89854516,35.64030625,31.76684395,31.89084342,415039866.2,2021,0,0,1,0,0,0
5/2/2021,AVAX,31.7939996,32.65867564,30.47229482,31.30495715,241565269.9,2021,0,3,0,0,0,0
5/3/2021,AVAX,31.32492208,37.08235648,31.16550563,35.93231995,613797103.9,2021,1,0,0,0,1,0
5/4/2021,AVAX,35.8765824,36.13649537,29.98291495,30.36143228,429905095.3,2021,0,0,0,0,0,0
5/5/2021,AVAX,30.29295544,35.56074464,29.83710277,35.26311861,311207013.6,2021,1,1,0,0,0,0
5/6/2021,AVAX,35.25393264,39.2972427,34.75200259,37.98084272,615820255.8,2021,1,0,0,0,0,0
5/7/2021,AVAX,37.97057743,43.74395226,36.00628302,38.04991956,812137105.4,2021,1,2,0,0,0,0
5/8/2021,AVAX,37.90199622,39.78215236,37.27091007,38.32207285,350546181.8,2021,1,1,1,0,0,0
5/9/2021,AVAX,38.40207007,39.36095693,35.33116202,39.02163629,329199842.6,2021,1,3,0,0,0,0
5/10/2021,AVAX,38.9265006,41.77785556,30.21927135,34.70148697,528356770.4,2021,0,2,0,0,1,0
5/11/2021,AVAX,34.69052756,37.25491207,32.58077099,36.82477865,342073952.1,2021,1,4,1,0,0,0
5/12/2021,AVAX,36.75679463,41.44514982,32.01624526,32.01624526,635368557.3,2021,0,0,0,0,0,0
5/13/2021,AVAX,32.80630563,37.15969478,31.04141852,34.98024095,539807644.7,2021,1,5,0,0,0,0
5/14/2021,AVAX,35.0407707,37.9841022,33.39003746,36.9512021,343970662.8,2021,1,0,0,0,0,0
5/15/2021,AVAX,36.95224452,39.8306776,34.13846755,34.41056574,601746074.5,2021,0,6,0,0,0,0
5/16/2021,AVAX,34.42939431,39.50280403,32.6143874,36.51881212,566714442.4,2021,1,1,0,0,0,0
5/17/2021,AVAX,36.55112603,37.64341191,31.96229904,33.66225344,457823166.1,2021,0,0,0,0,0,0
5/18/2021,AVAX,33.62871311,37.67807648,33.31674825,36.82215669,369926391,2021,1,2,0,0,0,0
5/19/2021,AVAX,36.97642648,38.42449268,18.67858344,23.3838953,583118260.6,2021,0,0,1,0,0,0
5/20/2021,AVAX,23.13392097,28.16626063,20.92279883,25.19688497,356467352.3,2021,1,3,0,0,0,0
5/21/2021,AVAX,25.10417292,26.71778162,18.45418151,21.80176932,262253583,2021,0,0,0,0,1,0
5/22/2021,AVAX,21.86618563,22.17225193,18.33552129,18.85113953,159666877.4,2021,0,4,0,0,0,0
5/23/2021,AVAX,18.84721211,19.66555286,12.14700274,15.75615244,241105086.1,2021,0,0,0,0,0,0
5/24/2021,AVAX,15.62591984,20.47765852,15.12373275,19.41094653,248935735.5,2021,1,0,0,0,0,0
